id,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
620,Brij,Digital Payments,"Mobile Money, Payment Gateways, Payment Aggregators, Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B)",,2021,Private,Kenya,Kenya,Nov-50,,,,Active
621,BrikkApp,Digital Capital Raising,Real Estate Crowdfunding,2019.0,2018,Private,Czech Republic,Czech Republic,10-Jan,,,,Active
622,briq.mx,Digital Capital Raising,Real Estate Crowdfunding,2015.0,2015,Private,Mexico,Mexico,30,,,,Active
623,British Pearl,"WealthTech, Digital Lending","Digital Wealth Management, P2P / Marketplace Property Lending",2010.0,2011,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
624,BrokenBit,Cryptoasset Exchange,Single Dealer Platform / OTC Trading,,2020,Private,Russian Federation,Russian Federation,,,,,Active
625,Broota,Digital Capital Raising,Equity-Based Crowdfunding,2012.0,2013,Private,Chile,Chile,6,,,,Active
626,Browntape,Enterprise Tech Provisioning,"Electronic Invoicing, Financial Management & Business Intelligence",2003.0,2012,Private,India,India,51-200,,,,Active
627,Broxel,"Digital Payments, Enterprise Tech Provisioning, Digital Lending, RegTech","Money Transfer (P2P / P2B / B2P / B2B), eMoney Issuers, Points of Access (PoS / mPoS / Online PoS), Top-ups & Refills, Financial Management & Business Intelligence, Electronic Invoicing, Balance Sheet Business Lending, Balance Sheet Consumer Lending, Risk Analytics",,2011,Private,Mexico,Mexico,501-1000,,,,Active
628,BSAVE,WealthTech,"Digital Wealth Management, Interest-bearing account",2015.0,2016,Private,United Kingdom,United Kingdom,31,2019.0,,,Inactive
629,bsurance,InsurTech,"Customer Management, Claims & Risk Management Solutions",,2017,Private,Austria,Austria,Nov-50,,,,Active
630,BT Africa,"Digital Banks, Digital Payments","Banking-as-a-Service (BaaS), Acquiring Services Providers for Merchants",2016.0,2021,Private,Unidentified,Kenya,51-200,,,,Active
631,BTC Gear,Digital Payments,Top-ups & Refill (Cryptoasset),2012.0,2012,Private,Unidentified,United States,,2014.0,,,Inactive
632,BTC Guild,Consensus Services,Pool Operation,2011.0,2011,Private,United States,United States,,2015.0,,,Inactive
633,BTC Next,"Cryptoasset Exchange, Digital Custody","Retail Brokerage Services, Hardware Cryptoasset Wallet, Business consulting",2013.0,2013,Private,Netherlands,Netherlands,,2013.0,,,Inactive
634,BTC Oracle,Cryptoasset Exchange,"Retail Brokerage Services, Software oracle",2013.0,2013,Private,Unidentified,Unidentified,,2017.0,,,Inactive
635,BTC Trade UA,Cryptoasset Exchange,Order-Book,,2014,Private,Unidentified,Ukraine,,,,,Active
636,BTC Trip,Digital Payments,Consumer Spending,2013.0,2013,Private,United States,United States,,2017.0,,,Inactive
637,BTC-e,Cryptoasset Exchange,Order-Book,2011.0,2011,Private,Russian Federation,Russian Federation,,2017.0,,,Inactive
638,BTC.COM,"Consensus Services, Digital Custody","Pool Operation, Hosted Cryptoasset Wallet",2013.0,2016,Private,"Hong Kong SAR, China",China,125,,,,Active
639,BTC.top,Consensus Services,Pool Operation,,2014,Private,Unidentified,China,201-500,,,,Active
640,BTCC,"Cryptoasset Exchange, Digital Custody, Digital Payments","Order-Book, Hosted Cryptoasset Wallet, Retail Brokerage Services, Payment processor",,2011,Private,China,United Kingdom,,,,,Active
641,BTCjam,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending, Lending / Borrowing",2012.0,2012,Private,United States,United States,,2017.0,,,Inactive
642,BTClevels,Cryptoasset Exchange,Order-Book,,2013,Private,Seychelles,Unidentified,,2019.0,,,Inactive
643,BTCNEXT.IO,"Cryptoasset Exchange, Digital Capital Raising","Order-Book, Token Hosting Platform",2019.0,2019,Private,St. Vincent and the Grenadines,Singapore,,,,,Active
644,BTCPoint,Cryptoasset Exchange,"Bitcoin Teller Machines (BTM), Business consulting",2014.0,2015,Private,Netherlands,Netherlands,,,,,Active
645,BTCS,Consensus Services,"Hardware Manufacturing, Portfolio management",2013.0,2013,Public,United States,United States,2,,,,Active
646,BTCTrader,"Digital Custody, Cryptoasset Exchange, Enterprise Tech Provisioning, Digital Payments","Hardware Cryptoasset Wallet, Retail Brokerage Services, Order-Book, API Management, Settlement & Clearing Services Providers",2013.0,2013,Private,United Kingdom,Turkey,Nov-50,,,,Active
647,BTCXIndia,Cryptoasset Exchange,Retail Brokerage Services,2013.0,2014,Private,India,India,,2018.0,,,Inactive
648,Bter,Cryptoasset Exchange,Order-Book,2013.0,2013,Private,British Virgin Islands,China,,2017.0,,,Inactive
649,BTX Trader,Cryptoasset Exchange,Aggregation,2013.0,2014,Private,United States,United States,,2015.0,,,Inactive
650,Buckscapital,Digital Capital Raising,Reward-Based Crowdfunding,2013.0,2013,Private,United Arab Emirates,United Arab Emirates,6,,,,Active
651,Bud,"WealthTech, Enterprise Tech Provisioning, Digital Banks","Personal Financial Management / Planning, Financial Management & Business Intelligence, Banking-as-a-Service (BaaS)",2015.0,2016,Private,United Kingdom,United Kingdom,51-200,,,,Active
652,Buda,"Cryptoasset Exchange, Digital Payments","Order-Book, Payment processor",,2015,Private,Chile,Chile,51-200,,,,Active
653,Buddy Finance,Digital Lending,"Balance Sheet Property Lending, Balance Sheet Consumer Lending",2015.0,2017,Private,"Hong Kong SAR, China","Hong Kong SAR, China",,,,,Active
654,Buddy Loan,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2019.0,2019,Private,India,India,51-200,,,,Active
655,Buenbit,"Cryptoasset Exchange, Digital Payments","Retail Brokerage Services, Single Dealer Platform / OTC Trading, Top-ups & Refill (Cryptoasset), Financial Solution Provider and Consulting Service",2019.0,2018,Private,United Kingdom,Argentina,51-200,,,,Active
656,Bueno,Digital Banks,Fully Digitally Native Bank (Retail),2020.0,2013,Private,Bulgaria,Bulgaria,10-Jan,,,,Active
657,Buhta,"Enterprise Tech Provisioning, Digital Payments, RegTech","Digital Accounting, Payment Gateways, Regulatory Reporting",2014.0,2014,Private,Kazakhstan,Kazakhstan,Nov-50,,,,Active
658,Built,"Enterprise Tech Provisioning, Digital Lending","Financial Management & Business Intelligence, P2P / Marketplace Property Lending",2021.0,2015,Private,United States,United States,51-200,,,,Active
659,Bukas,Digital Lending,Balance Sheet Consumer Lending,,2018,Private,Philippines,Philippines,Nov-50,,,,Active
660,Bulb in Town,Digital Capital Raising,"Reward-Based Crowdfunding, Equity-Based Crowdfunding",2012.0,2012,Private,France,France,6,,,,Active
661,Bullion Bitcoin,Cryptoasset Exchange,Retail Brokerage Services,2014.0,2014,Private,United Kingdom,United Kingdom,,2015.0,,,Inactive
662,Bullla,"Digital Lending, WealthTech, Digital Payments, Enterprise Tech Provisioning","P2P / Marketplace Consumer Lending, Customer Cash-Advance, Personal Financial Management / Planning, eMoney Issuers, Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, API Hubs for Payments, Financial Management & Business Intelligence",2019.0,2020,Private,Brazil,Brazil,51-200,,,,Active
663,bunq,"Digital Payments, WealthTech, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Cross Border-P2P), Personal Financial Management / Planning, Agent Banking (Cash-In / Cash-Out), Fully Digitally Native Bank (MSME), Fully Digitally Native Bank (Retail)",2019.0,2015,Private,Netherlands,Netherlands,51-200,,,,Active
664,Burfa Tech,Consensus Services,"Hardware Manufacturing, Application development, Investment advisory",2013.0,2014,Private,Estonia,Estonia,,,,,Active
665,Busha,"Digital Payments, Cryptoasset Exchange, Digital Custody","Payment processor, API Hubs for Payments, Retail Brokerage Services, Hosted Cryptoasset Wallet",2018.0,2019,Private,Nigeria,Nigeria,Nov-50,,,,Active
666,Buttercoin,Cryptoasset Exchange,Order-Book,2013.0,2013,Private,United States,United States,,2015.0,,,Inactive
667,Butterfly Labs,Consensus Services,"Hardware Manufacturing, Cloud Mining",2011.0,2012,Private,United States,United States,Nov-50,2014.0,,,Inactive
668,Bux Zero,WealthTech,Personal Financial Management / Planning,2014.0,2014,Private,Netherlands,Netherlands,51-200,,,,Active
669,BuyNSwipe ,"Digital Payments, InsurTech","Payment Gateways, Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, eMoney Issuers, Digital Brokers or Agents",2017.0,2018,Private,India,India,10-Jan,,,,Active
670,BuyUcoin,"Cryptoasset Exchange, Digital Custody","Retail Brokerage Services, Single Dealer Platform / OTC Trading, Order-Book, Hosted Cryptoasset Wallet",2017.0,2016,Private,India,India,Nov-50,,,,Active
671,Buzzbnk,Digital Capital Raising,Donation-Based Crowdfunding,2009.0,2009,Private,United Kingdom,United Kingdom,10-Jan,2017.0,,,Inactive
672,BW.com,"Consensus Services, Cryptoasset Exchange, Digital Capital Raising","Pool Operation, Order-Book, Market data, API Interface, Single Dealer Platform / OTC Trading, High-Frequency Trading (HFT) Services, Token Hosting Platform, Margin lending",,2014,Private,China,China,,,,,Active
673,By Miles,InsurTech,"Digital Brokers or Agents, Claims & Risk Management Solutions, IoT (including Telematics), Usage-Based Insurance",2015.0,2018,Private,United Kingdom,United Kingdom,51-200,,,,Active
674,Bybit,"Cryptoasset Exchange, Digital Custody, Consensus Services","Advanced Trading Services, Order-Book, P2P Cryptoasset Marketplaces, Institutional Brokerage Services, Single Dealer Platform / OTC Trading, Hosted Cryptoasset Wallet, Staking-as-a-Service",2018.0,2018,Private,British Virgin Islands,Singapore,1001-5000,,,,Active
675,Byoot,Digital Capital Raising,Real Estate Crowdfunding,2015.0,2013,Private,United Kingdom,United Kingdom,30,2017.0,,,Inactive
676,c-crowd,Digital Capital Raising,Equity-Based Crowdfunding,2010.0,2011,Private,Switzerland,Switzerland,6,,,,Active
677,C2FO,"Digital Lending, Enterprise Tech Provisioning","Invoice Trading, Balance Sheet Business Lending, P2P / Marketplace Business Lending, Digital Accounting, Electronic Invoicing",2020.0,2012,Private,United States,United States,51-200,,,,Active
678,C6 BANK,Digital Banks,"Fully Digitally Native Bank (MSME), Fully Digitally Native Bank (Retail), Banking-as-a-Service (BaaS)",2018.0,2019,Private,Brazil,Brazil,1001-5000,,,,Active
679,Caxe Technologies ,"Enterprise Tech Provisioning, Alternative Credit Analytics, Digital Banks, Digital Identity, RegTech","Financial Management & Business Intelligence, Credit Scoring, Banking-as-a-Service (BaaS), Fraud Prevention & Risk Management, Regulatory Reporting, Risk Analytics",2014.0,2006,Private,Singapore,Singapore,51-200,,,,Active
680,CAIFU500.com,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending, P2P / Marketplace Business Lending",2014.0,2014,Private,China,China,Nov-50,2019.0,,,Inactive
681,CAIS ,"Enterprise Tech Provisioning, RegTech","Financial Management & Business Intelligence, Profiling & Due Diligence, Regulatory Reporting",2009.0,2009,Private,United States,United States,51-200,,,,Active
682,Cajero Bitcoin,"Cryptoasset Exchange, Digital Custody","Bitcoin Teller Machines (BTM), Retail Brokerage Services, Hardware Cryptoasset Wallet",,2017,Private,Mexico,Mexico,,,,,Active
683,CallPesa,Enterprise Tech Provisioning,Digital Accounting,,2020,Private,Kenya,Kenya,10-Jan,,,,Active
684,CambioX,WealthTech,"Financial Comparison Sites, Market data",,2018,Private,Peru,Peru,10-Jan,,,,Active
685,Cambridge Mobile Telematics,"InsurTech, Enterprise Tech Provisioning","IoT (including Telematics), Cloud Computing, AI / ML / NLP",2013.0,2012,Private,United States,United States,201-500,,,,Active
686,Camino Financial,"Digital Lending, Enterprise Tech Provisioning","P2P / Marketplace Business Lending, Balance Sheet Business Lending, Financial Management & Business Intelligence, Business consulting",2015.0,2014,Private,United States,United States,51-200,,,,Active
687,CampBX,Cryptoasset Exchange,Order-Book,2011.0,2011,Private,United States,United States,,2017.0,,,Inactive
688,CAMPFIRE,Digital Capital Raising,Reward-Based Crowdfunding,2011.0,2011,Private,Japan,Japan,76,,,,Active
689,Canaan,"Consensus Services, Enterprise Tech Provisioning","Cloud Mining, Remote Hosting Services, Hardware Manufacturing, AI / ML / NLP",,2013,Public,Cayman Islands,China,201-500,,,,Active
690,Canoe,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Digital Accounting",2017.0,2017,Private,United States,United States,Nov-50,,,,Active
691,Canopi,Digital Lending,Balance Sheet Business Lending,2016.0,2016,Private,India,India,10-Jan,,,,Active
692,Canopy ,WealthTech,Digital Wealth Management,2014.0,2017,Private,Singapore,Singapore,Nov-50,,,,Active
693,CapBay,"Digital Lending, Alternative Credit Analytics","P2P / Marketplace Business Lending, Balance Sheet Business Lending, Invoice Trading, Credit Scoring",2016.0,2016,Private,Malaysia,Malaysia,51-200,,,,Active
694,Capchase,"Digital Lending, Enterprise Tech Provisioning","Balance Sheet Business Lending, Merchant Cash-Advance, Financial Management & Business Intelligence",2020.0,2020,Private,United States,United States,51-200,,,,Active
695,CapFront Technologies,"RegTech, Enterprise Tech Provisioning","Risk Analytics, AI / ML / NLP, Marketing services",2018.0,2018,Private,India,India,51-200,,,,Active
696,Capital Cell,Digital Capital Raising,Equity-Based Crowdfunding,2014.0,2015,Private,Spain,Spain,30,,,,Active
697,Capital Circle,Digital Capital Raising,Equity-Based Crowdfunding,2015.0,2015,Private,Netherlands,Netherlands,30,,,,Active
698,Capital Funding Lab,Digital Capital Raising,Equity-Based Crowdfunding,2016.0,2016,Private,Mexico,Mexico,10-Jan,,,,Active
699,Capital Match,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2014.0,2014,Private,Singapore,Singapore,6,,,,Active
700,Capital on Tap,"Digital Lending, Digital Payments","Balance Sheet Business Lending, eMoney Issuers",2012.0,2012,Private,United Kingdom,United Kingdom,51-200,,,,Active
701,Capital Springboard,Digital Lending,Invoice Trading,2016.0,2016,Private,Singapore,Singapore,,,,,Active
702,Capital.Com,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading, Balance Sheet Business Lending",2016.0,2016,Private,Mexico,United Kingdom,176,,,,Active
703,CapitalFront,Digital Lending,Balance Sheet Business Lending,2015.0,2015,Private,United States,United States,30,,,,Active
704,Capitalia,"Digital Lending, Enterprise Tech Provisioning, WealthTech","Balance Sheet Business Lending, Invoice Trading, Balance Sheet Property Lending, Financial Management & Business Intelligence, Digital Wealth Management",2007.0,2007,Private,Latvia,Latvia,Nov-50,,,,Active
705,CapitalRise,Digital Capital Raising,Real Estate Crowdfunding,2015.0,2016,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
706,CapitalSage,"Digital Payments, Digital Banks","Points of Access (PoS / mPoS / Online PoS), API Hubs for Payments, Agent Banking (Cash-In / Cash-Out)",2018.0,2020,Private,Nigeria,Nigeria,201-500,,,,Active
707,CapitalStackers,Digital Lending,P2P / Marketplace Property Lending,2014.0,2014,Private,United Kingdom,United Kingdom,6,,,,Active
708,CapitalTech,Digital Lending,Invoice Trading,,2010,Private,Mexico,Mexico,51-200,,,,Active
709,CapitalVia Global Research Limited,"Cryptoasset Exchange, WealthTech","Advanced Trading Services, Robo-Advisors, Investment advisory, Market data",2005.0,2005,Private,India,India,,,,,Active
710,Capitolis,Digital Capital Raising,Capital Raising Institutional Brokerage,2016.0,2018,Private,United States,United States,51-200,,,,Active
711,Capitual,"Digital Custody, Digital Payments, WealthTech","eMoney Wallet, Hosted Cryptoasset Wallet, Payment processor, Points of Access (Cryptoasset), Money Transfer (Cryptoasset), Payment Gateways, Digital Wealth Management, Personal Financial Management / Planning",2018.0,2018,Private,Estonia,Estonia,Nov-50,,,,Active
712,Capnovum,"RegTech, Enterprise Tech Provisioning","Dynamic Compliance, Regulatory Reporting, Market Monitoring, Risk Analytics, AI / ML / NLP, Regulatory",2014.0,2016,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
713,CapSphere,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Equity-Based Crowdfunding",2016.0,2020,Private,Malaysia,Malaysia,10-Jan,,,,Active
714,Captable.io,Digital Capital Raising,Equity-Based Crowdfunding,2013.0,2013,Private,Brazil,United States,6,,,,Active
715,Capzest,"Digital Lending, Enterprise Tech Provisioning","P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending, Financial Management & Business Intelligence",2015.0,2015,Private,India,India,Nov-50,,,,Active
716,Carbon ,"Digital Lending, WealthTech, Digital Payments, Enterprise Tech Provisioning, Digital Identity","Balance Sheet Consumer Lending, Customer Cash-Advance, Balance Sheet Business Lending, Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Acquiring Services Providers for Merchants, API Management, KYC Solutions",2018.0,2016,Private,United Kingdom,United Kingdom,51-200,,,,Active
717,Carbon Collective,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning, Education and Training",2020.0,2020,Private,United States,United States,10-Jan,,,,Active
718,CarbonChain,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Education and Training",2017.0,2019,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
719,CarbonX,Enterprise Tech Provisioning,Enterprise Blockchain,2017.0,2017,Private,Canada,Canada,10-Jan,,,,Active
720,Card for Coin,Digital Payments,Consumer Spending,2014.0,2014,Private,United States,United States,29,2019.0,,,Inactive
721,CARD91 ,Enterprise Tech Provisioning,API Management,2020.0,2020,Private,India,India,51-200,,,,Active
722,Cardabel,"Enterprise Tech Provisioning, RegTech, Digital Identity","AI / ML / NLP, Dynamic Compliance, Market Monitoring, Fraud Prevention & Risk Management",2009.0,2015,Private,France,France,10-Jan,,,,Active
723,Cardlay,"WealthTech, Enterprise Tech Provisioning","Digital Wealth Management, AI / ML / NLP, API Management",2016.0,2016,Private,Denmark,Denmark,Nov-50,,,,Active
724,Carepay,"Digital Payments, Digital Savings, InsurTech, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Digital Micro Saving Solutions, Claims & Risk Management Solutions, Technical Service Provider (TSP), Digital Accounting, Electronic Invoicing",,2015,Private,Kenya,Netherlands,,,,,Active
725,Carta,Enterprise Tech Provisioning,"Digital Accounting, Financial Management & Business Intelligence",2012.0,2012,Private,United States,United States,501-1000,,,,Active
726,Case,Digital Custody,Hardware Cryptoasset Wallet,2015.0,2015,Private,United States,United States,,2017.0,,,Inactive
727,Cash Suvidha,Digital Lending,"Invoice Trading, Balance Sheet Business Lending, Balance Sheet Consumer Lending",1995.0,2016,Private,India,India,51-200,,,,Active
728,Cash To Crypto,Cryptoasset Exchange,"Retail Brokerage Services, Bitcoin Teller Machines (BTM)",2014.0,2014,Private,United States,United States,,2018.0,,,Inactive
729,Cash2BTC,Cryptoasset Exchange,Bitcoin Teller Machines (BTM),,2014,Private,United States,United States,,2016.0,,,Inactive
730,CashBook,Enterprise Tech Provisioning,Digital Accounting,2021.0,2021,Private,India,India,10-Jan,,,,Active
731,CashCare,Digital Lending,Customer Cash-Advance,2014.0,2014,Private,India,India,10-Jan,2018.0,,,Inactive
732,Cashcash Pro,WealthTech,Financial Comparison Sites,2017.0,2018,Private,Indonesia,Indonesia,Nov-50,,,,Active
733,Cashcow.ai,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending, P2P / Marketplace Property Lending",2017.0,2017,Private,India,India,Nov-50,,,,Active
734,CASHe,"Digital Lending, Alternative Credit Analytics","Balance Sheet Consumer Lending, Customer Cash-Advance, Sociometric Analytics",2015.0,2016,Private,India,India,201-500,,,,Active
735,Cashee,"WealthTech, Digital Payments","Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B)",2020.0,2021,Private,United Arab Emirates,United Arab Emirates,10-Jan,,,,Active
736,Cashew Payments,"Digital Payments, Digital Lending","Payment Gateways, Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS), API Hubs for Payments, Customer Cash-Advance",2020.0,2020,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
737,Cashfree Payments,"Digital Payments, Digital Banks, Digital Identity","API Hubs for Payments, Bulk Payment Solutions, Payment Gateways, Points of Access (PoS / mPoS / Online PoS), Banking-as-a-Service (BaaS), KYC Solutions",2015.0,2016,Private,India,India,201-500,,,,Active
738,Cashila,Digital Payments,Money Transfer (Cryptoasset),2014.0,2014,Private,Czech Republic,Czech Republic,,2017.0,,,Inactive
739,CashInvoice,Digital Lending,"Invoice Trading, Balance Sheet Business Lending",2017.0,2017,Private,Italy,Italy,Nov-50,,,,Active
740,Cashkumar,Digital Lending,P2P / Marketplace Consumer Lending,2012.0,2014,Private,India,India,Nov-50,,,,Active
741,Cashlez,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Payment Gateways",2015.0,2016,Public,Indonesia,Indonesia,51-200,,,,Active
742,CashMe,Digital Lending,Balance Sheet Property Lending,2019.0,2018,Private,Brazil,Brazil,201-500,,,,Active
743,CashMe SpA,Digital Lending,Invoice Trading,2016.0,2016,Private,Italy,Italy,6,,,,Active
744,CashPlus Bank,Digital Banks,"Fully Digitally Native Bank (MSME), Fully Digitally Native Bank (Retail)",2003.0,2005,Private,United Kingdom,United Kingdom,51-200,,,,Active
745,CashRich,WealthTech,Personal Financial Management / Planning,2015.0,2015,Private,India,India,Nov-50,,,,Active
746,Cashyear,"Digital Payments, Digital Lending","Acquiring Services Providers for Merchants, Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, Customer Cash-Advance",2020.0,2021,Private,India,India,51-200,,,,Active
747,Catapooolt,Digital Capital Raising,Reward-Based Crowdfunding,2012.0,2013,Private,India,India,6,,,,Active
748,Catarse,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2010.0,2011,Private,Brazil,Brazil,Nov-50,,,,Active
749,Cavirtex,Cryptoasset Exchange,"Retail Brokerage Services, Order-Book",2011.0,2011,Private,Canada,Canada,,2015.0,,,Inactive
750,Caytree Partners,Digital Lending,P2P / Marketplace Business Lending,,2012,Private,Unidentified,Kenya,10-Jan,2020.0,,,Inactive
751,CDN Solutions Group,"Digital Payments, Enterprise Tech Provisioning, RegTech, Digital Identity","Payment Gateways, Financial Management & Business Intelligence, Enterprise Blockchain, Dynamic Compliance, Fraud Prevention & Risk Management",2006.0,2010,Private,India,India,201-500,,,,Active
752,Cedar,"Enterprise Tech Provisioning, Digital Payments, InsurTech","Financial Management & Business Intelligence, Electronic Invoicing, Payment Gateways, Customer Management",2016.0,2017,Private,United States,United States,201-500,,,,Active
753,Celengan.id,"Digital Payments, WealthTech","Top-ups & Refills, Personal Financial Management / Planning",,2017,Private,Indonesia,Indonesia,10-Jan,2019.0,,,Inactive
754,Cellulant,Digital Payments,"Payment Gateways, Settlement & Clearing Services Providers, Points of Access (PoS / mPoS / Online PoS)",2003.0,2007,Private,Kenya,Kenya,201-500,,,,Active
755,Celo,Digital Payments,Asset-Backed Stablecoin,2017.0,2019,Non profit,United States,United States,Nov-50,,,,Active
756,CentralMaster,Digital Banks,"Agent Banking (Cash-In / Cash-Out), Business consulting",2014.0,2019,Private,Brazil,Brazil,201-500,,,,Active
757,Cermati,"InsurTech, WealthTech","Comparison Portal, Financial Comparison Sites",2014.0,2015,Private,Indonesia,Indonesia,501-1000,,,,Active
758,Certainty Compliance Pty Ltd,RegTech,Dynamic Compliance,2007.0,2016,Private,Australia,Australia,Nov-50,,,,Active
759,CertiK,"RegTech, Enterprise Tech Provisioning","Blockchain Forensics, AI / ML / NLP",2018.0,2020,Private,United States,United States,51-200,,,,Active
760,CEX.io,"Cryptoasset Exchange, Digital Payments","Order-Book, Payment processor",2013.0,2013,Private,United Kingdom,Ukraine,200,,,,Active
761,CFGI,"Enterprise Tech Provisioning, RegTech","Financial Management & Business Intelligence, Regulatory Reporting, Dynamic Compliance, Taxation",2014.0,2000,Private,United States,United States,501-1000,,,,Active
762,CFOremoto,"Alternative Credit Analytics, Enterprise Tech Provisioning, RegTech","Credit Scoring, Financial Management & Business Intelligence, AI / ML / NLP, Risk Analytics, Investment advisory",2015.0,2015,Private,Chile,Chile,51-200,,,,Active
763,CGTZ,WealthTech,Digital Wealth Management,,2014,Private,China,China,Nov-50,2019.0,,,Inactive
764,Chainalysis,RegTech,"Blockchain Forensics, Regulatory Reporting, Profiling & Due Diligence, Dynamic Compliance, Risk Analytics, KYC & AML",2015.0,2015,Private,United States,United States,501-1000,,,,Active
765,ChainPay,Digital Payments,"Payment processor, Money Transfer (Cryptoasset)",2014.0,2014,Private,United Kingdom,United Kingdom,,2016.0,,,Inactive
766,Chaka,"WealthTech, Digital Capital Raising","Digital Wealth Management, Capital Raising Retail Brokerage, Capital Raising Institutional Brokerage",2019.0,2020,Private,Nigeria,Nigeria,Nov-50,,,,Active
767,Chamapesa,Digital Savings,"Digital Savings Collective / Pool, Savings-as-a-Service (SaaS)",,2014,Private,Kenya,Bermuda,,2019.0,,,Inactive
768,Chamasoft,"Enterprise Tech Provisioning, Digital Savings","Digital Accounting, Electronic Invoicing, API Management, Digital Savings Collective / Pool",2013.0,2014,Private,Kenya,Kenya,Nov-50,,,,Active
769,changehero,Cryptoasset Exchange,Retail Brokerage Services,2019.0,2018,Private,"Hong Kong SAR, China","Hong Kong SAR, China",,,,,Active
770,ChangeTip,Digital Payments,"Money Transfer (Cryptoasset), Money Transfer (P2P / P2B / B2P / B2B), Micropayments",2013.0,2013,Private,United States,United States,Nov-50,2016.0,,,Inactive
771,ChapaCash,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Property Lending, Invoice Trading",2018.0,2019,Private,Peru,Peru,10-Jan,,,,Active
772,ChapChap Africa,"Digital Payments, Enterprise Tech Provisioning, Alternative Credit Analytics, Digital Banks","Digital Remittances (Domestic-P2P), Points of Access (PoS / mPoS / Online PoS), Mobile Money, Top-ups & Refills, Payment Gateways, Acquiring Services Providers for Merchants, Payment Aggregators, Financial Management & Business Intelligence, Alternative Credit Rating Agency, Agent Banking (Cash-In / Cash-Out)",2016.0,2016,Private,Uganda,Uganda,Nov-50,,,,Active
773,Chaptr Global,Digital Lending,Customer Cash-Advance,,2019,Private,Kenya,Kenya,10-Jan,,,,Active
774,Chargebee,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, Financial Management & Business Intelligence, API Hubs for Payments",2010.0,2012,Private,United States,United States,1001-5000,,,,Active
775,Charitable Impact,Digital Capital Raising,Donation-Based Crowdfunding,2010.0,2010,Private,Canada,Canada,76,,,,Active
776,Charitism,Digital Capital Raising,Donation-Based Crowdfunding,2019.0,2018,Private,India,India,10-Jan,,,,Active
777,Charm Impact,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Crowd-Led Microfinance, Donation-Based Crowdfunding, Community Shares, Capital Raising Institutional Brokerage",2018.0,2018,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
778,Chaty,Digital Payments,Acquiring Services Providers for Merchants,,2018,Private,Peru,Peru,10-Jan,,,,Active
779,Check,Digital Payments,API Hubs for Payments,,2021,Private,United States,United States,51-200,,,,Active
780,checkout.com,"Digital Payments, RegTech, Digital Identity","Payment Gateways, API Hubs for Payments, Risk Analytics, Market Monitoring, Fraud Prevention & Risk Management",2012.0,2012,Private,United Kingdom,United Kingdom,1001-5000,,,,Active
781,Cheetah Miner,Consensus Services,Hardware Manufacturing,,2019,Private,China,China,,,,,Active
782,Chenengdai,Digital Lending,P2P / Marketplace Consumer Lending,2013.0,2014,Private,China,China,,2019.0,,,Inactive
783,Cherehani Africa,Digital Lending,"Balance Sheet Business Lending, Education and Training",2015.0,2014,Private,Kenya,Kenya,10-Jan,,,,Active
784,Chillr,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2013.0,2016,Private,India,India,51-200,2018.0,,,Inactive
