Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
Corvus Insurance,"Enterprise Tech Provisioning, Digital Identity","Financial Management & Business Intelligence, AI / ML / NLP, API Management, Fraud Prevention & Risk Management",2016,2018,Private,United States,United States,201-500,,,,Active
Counterparty,Digital Custody,"Sub-segment protocols / construction, Unhosted Cryptoasset Wallet",2013,2014,Private,Decentralised Autonomous Organisations,Decentralised Autonomous Organisations,,,,,Active
Countingup,"Enterprise Tech Provisioning, Digital Payments, Digital Banks","Digital Accounting, Electronic Invoicing, eMoney Issuers, Fully Digitally Native Bank (MSME)",2017,2017,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Covault,Cryptoasset Exchange,Bitcoin Teller Machines (BTM),,2017,Private,United States,United States,,,,,Active
Coverfox Insurance,"InsurTech, WealthTech, Digital Savings","Digital Brokers or Agents, Comparison Portal, Personal Financial Management / Planning, Digital Wealth Management, Digital Money Market / Fund  ",2013,2013,Private,India,India,1001-5000,,,,Active
Cowbell Cyber,"Enterprise Tech Provisioning, InsurTech, RegTech","AI / ML / NLP, Cloud Computing, Digital Brokers or Agents, Risk Analytics",2019,2019,Private,United States,United States,51-200,,,,Active
CowFunding,Digital Capital Raising,Donation-Based Crowdfunding,2013,2013,Private,France,France,6,,,,Active
Cowrywise,"WealthTech, Digital Savings","Digital Money Market / Fund, Digital Wealth Management, Personal Financial Management / Planning, Digital Micro Saving Solutions, Digital Savings Collective / Pool",2017,2017,Private,Nigeria,Nigeria,Nov-50,,,,Active
Coya,InsurTech,Digital Brokers or Agents,2017,2018,Private,Germany,Germany,51-200,2022,,,Active
Coyno,Enterprise Tech Provisioning,"Digital Accounting, Financial Management & Business Intelligence, Taxation",2014,2015,Private,Germany,Germany,10-Jan,2017,,,Inactive
Craft Silicon,"Digital Banks, Enterprise Tech Provisioning","Banking-as-a-Service (BaaS), Financial Management & Business Intelligence, API Management",2000,2000,Private,Kenya,Kenya,51-200,,,,Active
Crassula,"Digital Payments, Enterprise Tech Provisioning, Digital Banks, RegTech, Digital Identity, Cryptoasset Exchange","Payment Gateways, Money Transfer (P2P / P2B / B2P / B2B), Payment Aggregators, Top-ups & Refills, API Hubs for Payments, Digital Remittances (Cross Border-P2P), Acquiring Services Providers for Merchants, Payment processor, Money Transfer (Cryptoasset), API Management, Cloud Computing, Banking-as-a-Service (BaaS), Dynamic Compliance, Fraud Prevention & Risk Management, Retail Brokerage Services",2003,2015,Private,Latvia,Latvia,Nov-50,,,,Active
CRC (COMPLIANCE RISK CONCEPTS),RegTech,"Risk Analytics, Dynamic Compliance, Regulatory Reporting, Profiling & Due Diligence, Education and Training",2011,2013,Private,United States,United States,Nov-50,,,,Active
CRECE ECUADOR,"Digital Lending, Alternative Credit Analytics, Digital Capital Raising","P2P / Marketplace Business Lending, Credit Scoring, Equity-Based Crowdfunding",2018,2018,Private,Ecuador,Ecuador,10-Jan,,,,Active
Cred,Digital Capital Raising,"Capital Raising Retail Brokerage, Lending / Borrowing, Interest-bearing account",2018,2018,Private,United States,United States,201-500,,,,Active
CredAvenue ,"Alternative Credit Analytics, Digital Lending, Enterprise Tech Provisioning","Credit Scoring, Invoice Trading, P2P / Marketplace Consumer Lending, Debt-Based Securities, P2P / Marketplace Business Lending, Financial Management & Business Intelligence",2020,2020,Private,India,India,201-500,,,,Active
Credenc,Digital Lending,Balance Sheet Consumer Lending,2017,2017,Private,India,India,51-200,,,,Active
CredFine,WealthTech,Financial Comparison Sites,2020,2020,Private,India,India,51-200,,,,Active
Credibility Capital,Digital Lending,P2P / Marketplace Business Lending,2013,2015,Private,United States,United States,Nov-50,,,,Active
Crediblock.com,"Digital Payments, Digital Lending","Payment Aggregators, Payment Gateways, Balance Sheet Business Lending, Data aggregation, Software oracle",2019,2019,Private,United States,United States,Nov-50,,,,Active
Credibly,Digital Lending,Balance Sheet Business Lending,2010,2010,Private,United States,United States,176,,,,Active
CrediFace,"Digital Lending, Alternative Credit Analytics","Balance Sheet Consumer Lending, Alternative Credit Rating Agency",2018,2015,Private,Peru,Peru,,,,,Active
Credify,Digital Lending,P2P / Marketplace Business Lending,2013,2014,Private,Mexico,Singapore,6,,,,Active
Credijusto,Digital Lending,Balance Sheet Business Lending,2014,2015,Private,Mexico,Mexico,376,,,,Active
Credility,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2016,2016,Private,Argentina,Argentina,6,,,,Active
Credime ,Digital Lending,Balance Sheet Consumer Lending,2019,2019,Private,India,India,Nov-50,2022,,,Active
Credimi,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2015,2010,Private,Italy,Italy,6,,,,Active
Credin,Digital Lending,Balance Sheet Consumer Lending,2019,2020,Private,India,India,Nov-50,,,,Active
Credisfera,Digital Lending,P2P / Marketplace Consumer Lending,2015,2015,Private,Brazil,Brazil,,,,,Active
Credit Culture,Digital Lending,Balance Sheet Consumer Lending,2016,2016,Private,Singapore,Singapore,Nov-50,,,,Active
Credit Fair,Digital Lending,Balance Sheet Consumer Lending,2018,2018,Private,India,India,Nov-50,,,,Active
Credit Karma,"Alternative Credit Analytics, Digital Identity, WealthTech, Digital Savings, InsurTech, Digital Lending, Digital Banks","Credit Scoring, Fraud Prevention & Risk Management, Financial Comparison Sites, Digital Micro Saving Solutions, Comparison Portal, Digital Brokers or Agents, P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending, Agent Banking (Cash-In / Cash-Out), Education and Training",2007,2008,Private,United States,United States,1001-5000,,,,Active
Credit Sesame,"WealthTech, Digital Payments","Financial Comparison Sites, Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B)",2010,2010,Private,United States,United States,201-500,,,,Active
Credit Wise Capital,Digital Lending,Balance Sheet Consumer Lending,2018,2018,Private,India,India,51-200,,,,Active
Credit.fr,Digital Lending,P2P / Marketplace Business Lending,2016,2016,Private,France,France,30,,,,Active
CreditAccess Grameen,Digital Lending,"Balance Sheet Consumer Lending, Balance Sheet Business Lending",1991,2008,Public,India,India,10001-,,,,Active
Creditas,"WealthTech, Digital Banks, InsurTech, Digital Lending, Alternative Credit Analytics","Personal Financial Management / Planning, Financial Comparison Sites, Agent Banking (Cash-In / Cash-Out), Comparison Portal, P2P / Marketplace Property Lending, P2P / Marketplace Consumer Lending, Debt-Based Securities, P2P / Marketplace Business Lending, Credit Scoring, Education and Training",2012,2012,Private,Brazil,Brazil,1001-5000,,,,Active
Creditea,Digital Lending,Balance Sheet Consumer Lending,2019,2016,Private,Mexico,Mexico,10001-,,,,Active
CreditFinance,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2012,2012,Private,China,China,76,,,,Active
Creditlah,Digital Lending,P2P / Marketplace Business Lending,2017,2017,Private,India,India,6,,,,Active
CreditMantri,"WealthTech, Alternative Credit Analytics, Digital Lending, InsurTech","Personal Financial Management / Planning, Credit Scoring, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending, Comparison Portal",2012,2012,Private,India,India,51-200,,,,Active
CreditNirvana,Enterprise Tech Provisioning,AI / ML / NLP,2019,2020,Private,India,United States,51-200,,,,Active
CreditPer,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Consumer Lending",2016,2017,Private,Pakistan,Pakistan,Nov-50,,,,Active
Creditplace,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2013,2013,Private,Israel,Israel,6,,,,Active
creditshelf,Digital Lending,Balance Sheet Business Lending,,2015,Public,Germany,Germany,51-200,,,,Active
CreditSnap,"Enterprise Tech Provisioning, Alternative Credit Analytics, Digital Identity","AI / ML / NLP, Credit Scoring, KYC Solutions, Security & Biometrics, Fraud Prevention & Risk Management, Education and Training, KYC & AML",2017,2018,Private,United States,United States,10-Jan,,,,Active
Creditt ,Digital Lending,Balance Sheet Consumer Lending,2017,2019,Private,India,India,51-200,,,,Active
CreditVidya,"Alternative Credit Analytics, WealthTech, Digital Lending, Enterprise Tech Provisioning, RegTech","Credit Scoring, Personal Financial Management / Planning, P2P / Marketplace Consumer Lending, Financial Management & Business Intelligence, Profiling & Due Diligence",2012,2012,Private,India,India,51-200,,,,Active
Crediwatch,"Enterprise Tech Provisioning, RegTech, Digital Identity","Financial Management & Business Intelligence, Profiling & Due Diligence, Risk Analytics, Regulatory Reporting, KYC Solutions",2016,2016,Private,India,India,51-200,,,,Active
CredoLab,Alternative Credit Analytics,"Alternative Credit Rating Agency, Credit Scoring",2016,2016,Private,Singapore,Singapore,36,,,,Active
CredPal ,"Digital Lending, Enterprise Tech Provisioning, Alternative Credit Analytics, RegTech","Customer Cash-Advance, P2P / Marketplace Consumer Lending, Balance Sheet Business Lending, Financial Management & Business Intelligence, Credit Scoring, Risk Analytics",2018,2017,Private,Nigeria,Nigeria,Nov-50,,,,Active
CredRight ,Digital Lending,Balance Sheet Business Lending,2016,2016,Private,India,India,Nov-50,,,,Active
Credy ,Digital Lending,P2P / Marketplace Consumer Lending,,2016,Private,India,India,Nov-50,,,,Active
Crestem Idei,Digital Capital Raising,Reward-Based Crowdfunding,2012,2012,Private,Romania,Romania,6,,,,Active
Creze,Digital Lending,Balance Sheet Business Lending,2014,2015,Private,Mexico,Mexico,30,,,,Active
Criptopi,Digital Lending,Balance Sheet Consumer Lending,,2019,Private,Colombia,Colombia,,,,,Active
CroFun,"Digital Capital Raising, Digital Lending","Reward-Based Crowdfunding, Donation-Based Crowdfunding, P2P / Marketplace Business Lending",2013,2013,Private,Belgium,Belgium,,,,,Active
Cross River Bank,"Digital Lending, Digital Banks, Digital Payments, RegTech","Balance Sheet Property Lending, Balance Sheet Business Lending, P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Banking-as-a-Service (BaaS), Fully Digitally Native Bank (MSME), Marketplace Bank (MSME), API Hubs for Payments, Dynamic Compliance",,2008,Private,Unidentified,United States,201-500,,,,Active
CrossBorder Solutions,Enterprise Tech Provisioning,"AI / ML / NLP, Digital Accounting",2015,2016,Private,United States,Russian Federation,201-500,,,,Active
Crossflow - The Working Capital Marketplace,"Digital Lending, Digital Payments, Enterprise Tech Provisioning, Alternative Credit Analytics","P2P / Marketplace Business Lending, Money Transfer (P2P / P2B / B2P / B2B), Financial Management & Business Intelligence, Credit Scoring",2013,2013,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Crowd Asset,"Digital Lending, WealthTech","P2P / Marketplace Business Lending, Digital Wealth Management",2018,2019,Private,Mongolia,Mongolia,Nov-50,,,,Active
Crowd Capital,Digital Capital Raising,Real Estate Crowdfunding,2019,2018,Private,United States,United States,10-Jan,,,,Active
CROWD CREDIT,Digital Lending,P2P / Marketplace Business Lending,2013,2013,Private,Japan,Japan,76,,,,Active
Crowd Culture,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2009,2009,Private,Sweden,Sweden,,,,,Active
Crowd for Angels (UK),"Digital Capital Raising, Digital Lending","Equity-Based Crowdfunding, Debt-Based Securities",1995,2013,Private,United Kingdom,United Kingdom,6,,,,Active
Crowd Realty,Digital Capital Raising,Real Estate Crowdfunding,2014,2016,Private,Japan,Japan,30,,,,Active
Crowd'in,Digital Capital Raising,"Equity-Based Crowdfunding, Donation-Based Crowdfunding, Reward-Based Crowdfunding",2014,2014,Private,Belgium,Belgium,10-Jan,,,,Active
Crowd.Science,Digital Capital Raising,Reward-Based Crowdfunding,2013,2014,Private,United Kingdom,United Kingdom,6,,,,Active
Crowd2Fund,Digital Lending,P2P / Marketplace Business Lending,2014,2014,Private,United Kingdom,United Kingdom,6,,,,Active
CrowdAboutNow,"Digital Capital Raising, Digital Lending","Reward-Based Crowdfunding, P2P / Marketplace Business Lending, Equity-Based Crowdfunding",2009,2011,Private,Netherlands,Netherlands,6,,,,Active
Crowdahouse,Digital Lending,P2P / Marketplace Property Lending,2012,2015,Private,United Kingdom,United Kingdom,6,,,,Active
Crowdberry,Digital Capital Raising,Equity-Based Crowdfunding,2015,2015,Private,Slovak Republic,Slovak Republic,Nov-50,,,,Active
Crowdcube,Digital Capital Raising,Equity-Based Crowdfunding,2010,2011,Private,United Kingdom,United Kingdom,76,,,,Active
CrowdDana,Digital Capital Raising,Real Estate Crowdfunding,2019,2019,Private,Indonesia,Indonesia,10-Jan,,,,Active
CrowdDesk,Digital Capital Raising,Equity-Based Crowdfunding,2015,2015,Private,Germany,Germany,Nov-50,,,,Active
CROWDE,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Revenue / Profit Share Crowdfunding, Invoice Trading",2016,2016,Private,Indonesia,Indonesia,30,,,,Active
Crowdera,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2014,2014,Private,United States,United States,30,,,,Active
Crowdestate,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Real Estate Crowdfunding",2015,2016,Private,Estonia,Estonia,30,,,,Active
Crowdestor,"Digital Capital Raising, Alternative Credit Analytics","Real Estate Crowdfunding, Revenue / Profit Share Crowdfunding, Equity-Based Crowdfunding, Donation-Based Crowdfunding, Credit Scoring",2017,2018,Private,Estonia,Estonia,Nov-50,,,,Active
crowdFON,Digital Capital Raising,Reward-Based Crowdfunding,2011,2011,Private,Turkey,Turkey,6,,,,Active
Crowdfunder UK,Digital Capital Raising,"Reward-Based Crowdfunding, Community Shares, Donation-Based Crowdfunding",2011,2011,Private,United Kingdom,United Kingdom,51-200,,,,Active
Crowdfunding Bank,"Digital Capital Raising, Digital Lending","Equity-Based Crowdfunding, Donation-Based Crowdfunding, P2P / Marketplace Business Lending",2010,2011,Private,United States,United States,30,2016,,,Inactive
Crowdfunding Portugal,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2011,2011,Private,Portugal,Portugal,10-Jan,2018,,,Inactive
CrowdFundMe,"Digital Capital Raising, Digital Lending","Equity-Based Crowdfunding, Mini-Bonds, Real Estate Crowdfunding",2013,2015,Private,Italy,Italy,6,,,,Active
CrowdfundUP,"Digital Lending, Digital Capital Raising","P2P / Marketplace Property Lending, Real Estate Crowdfunding",2012,2015,Private,Australia,Australia,30,,,,Active
CrowdfundX,Digital Capital Raising,Equity-Based Crowdfunding,2016,2016,Private,United States,United States,6,,,,Active
Crowdify,Digital Capital Raising,"Donation-Based Crowdfunding, Reward-Based Crowdfunding",2011,2012,Private,Switzerland,Switzerland,10-Jan,,,,Active
CROWDIUM,"Digital Capital Raising, WealthTech","Real Estate Crowdfunding, Personal Financial Management / Planning",2015,2015,Private,Argentina,Argentina,Nov-50,,,,Active
CrowdLords,Digital Capital Raising,Real Estate Crowdfunding,2014,2015,Private,United Kingdom,United Kingdom,6,,,,Active
Crowdmii,Digital Capital Raising,Reward-Based Crowdfunding,2013,2015,Private,Israel,Israel,6,,,,Active
Crowdo,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Equity-Based Crowdfunding",2012,2013,Private,Singapore,Singapore,30,,,,Active
CrowdPatent,Digital Capital Raising,Equity-Based Crowdfunding,2013,2015,Private,Germany,Germany,6,,,,Active
CrowdPlus.asia,Digital Capital Raising,Equity-Based Crowdfunding,2015,2016,Private,Malaysia,Malaysia,30,,,,Active
CrowdProperty,Digital Lending,P2P / Marketplace Property Lending,2014,2014,Private,United Kingdom,United Kingdom,30,,,,Active
CrowdRise,Digital Capital Raising,Donation-Based Crowdfunding,2010,2010,Private,United States,United States,176,,,,Active
Crowdsphere,Digital Capital Raising,"Real Estate Crowdfunding, Equity-Based Crowdfunding",2014,2014,Private,New Zealand,New Zealand,10-Jan,,,,Active
Crowdstacker,Digital Lending,"P2P / Marketplace Business Lending, Debt-Based Securities",2014,2015,Private,United Kingdom,United Kingdom,30,,,,Active
CrowdStreet,Digital Capital Raising,Real Estate Crowdfunding,2013,2014,Private,United States,United States,176,,,,Active
Crowdy,Digital Capital Raising,"Equity-Based Crowdfunding, Revenue / Profit Share Crowdfunding, Donation-Based Crowdfunding",2015,2016,Private,"Korea, Rep.","Korea, Rep.",30,,,,Active
Crowdz,Digital Lending,Merchant Cash-Advance,2014,2014,Private,United States,United States,Nov-50,,,,Active
CRXzone,"Cryptoasset Exchange, Digital Payments","Single Dealer Platform / OTC Trading, Payment processor, Order-Book",2014,2014,Private,Singapore,Singapore,,,,,Active
Cryfter,Digital Payments,Consumer Spending,,2013,Private,Unidentified,United States,,2017,,,Inactive
Crypterium,"Digital Custody, Cryptoasset Exchange, Digital Payments","Hosted Cryptoasset Wallet, Retail Brokerage Services, Top-ups & Refill (Cryptoasset), Money Transfer (Cryptoasset), Consumer Spending",2017,2017,Private,Estonia,Estonia,Nov-50,,,,Active
Crypto 205,Consensus Services,Proprietary Hashing,2017,2017,Private,Canada,Canada,,2018,,,Inactive
Crypto Facilities,Cryptoasset Exchange,"Single Dealer Platform / OTC Trading, Order-Book",2014,2015,Private,United Kingdom,United Kingdom,,,,,Active
Crypto-Trade,Cryptoasset Exchange,Order-Book,2009,2013,Public,Belize,"Hong Kong SAR, China",,2015,,,Inactive
Crypto.com,"Cryptoasset Exchange, Digital Payments","Order-Book, Consumer Spending, Payment processor, Lending / Borrowing, Interest-bearing account, Portfolio management",2018,2017,Private,Malta,"Hong Kong SAR, China",1001-5000,,,,Active
Cryptobuyer,"Digital Payments, Cryptoasset Exchange","Payment Gateways, Points of Access (Cryptoasset), Top-ups & Refill (Cryptoasset), Money Transfer (Cryptoasset), Bitcoin Teller Machines (BTM), Retail Brokerage Services",2015,2015,Private,Panama,Panama,,,,,Active
CryptoGlobal,WealthTech,"Financial Comparison Sites, Personal Financial Management / Planning",2017,2017,Public,United States,Canada,Nov-50,,,,Active
Cryptokart,Cryptoasset Exchange,Order-Book,,2017,Private,Unidentified,India,,2019,,,Inactive
Cryptologic,Consensus Services,"Firmware & Software Development, Proprietary Hashing",2008,2012,Public,Canada,Canada,10-Jan,,,,Active
CryptoMarket,"Cryptoasset Exchange, Digital Custody","Order-Book, eMoney Wallet",2016,2017,Private,Chile,Chile,Nov-50,,,,Active
Cryptonator,"Cryptoasset Exchange, Digital Custody, Digital Payments","Retail Brokerage Services, Hosted Cryptoasset Wallet, Payment processor",,2014,Private,Unidentified,Russian Federation,,,,,Active
Cryptopatagonia,Consensus Services,Pool Operation,,2017,Private,Argentina,Argentina,,,,,Active
Cryptopay,"Digital Payments, Digital Custody, Cryptoasset Exchange","Payment processor, Hosted Cryptoasset Wallet, Retail Brokerage Services, Consumer Spending",2013,2014,Private,United Kingdom,United Kingdom,,,,,Active
CryptoTrader,Cryptoasset Exchange,Aggregation,,2013,Private,Belize,Vanuatu,,,,,Active
CryptoTrader (Zerion),Cryptoasset Exchange,"Aggregation, Order-Book, Data aggregation",2017,2013,Private,United States,United States,,,,,Active
Cryptowatch,Cryptoasset Exchange,"Market data, Aggregation",2013,2014,Private,United States,United States,,,,,Active
CrypTrader,Cryptoasset Exchange,"Market data, Aggregation",,2013,Private,Unidentified,Unidentified,,,,,Active
Cryptsy,Cryptoasset Exchange,Order-Book,,2013,Private,United States,United States,,2016,,,Inactive
Cube Wealth,WealthTech,Digital Wealth Management,2016,2016,Private,India,India,Nov-50,,,,Active
Cubits,"Digital Payments, Cryptoasset Exchange, Digital Custody","Payment processor, Retail Brokerage Services, Hosted Cryptoasset Wallet",2002,2014,Private,United Kingdom,United Kingdom,,2018,,,Inactive
Cuenca,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills",2018,2018,Private,Mexico,Mexico,Nov-50,,,,Active
CuentasOK,Enterprise Tech Provisioning,Electronic Invoicing,,2016,Private,Unidentified,Mexico,Nov-50,,,,Active
CULQI,Digital Payments,Points of Access (PoS / mPoS / Online PoS),,2013,Private,Peru,Peru,Nov-50,,,,Active
culturebooster,Digital Capital Raising,Reward-Based Crowdfunding,2013,2014,Private,United States,United States,6,,,,Active
Cumberland,Cryptoasset Exchange,"Market Making, High-Frequency Trading (HFT) Services",2014,2014,Private,United States,United States,51-200,,,,Active
Curacel,"Enterprise Tech Provisioning, InsurTech","API Management, Financial Management & Business Intelligence, AI / ML / NLP, Claims & Risk Management Solutions",2017,2017,Private,Ireland,Nigeria,10-Jan,,,,Active
Currency One,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P)",2011,2013,Private,Poland,Poland,51-200,,,,Active
CurrencyBird ,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P)",2015,2013,Private,Chile,Chile,10-Jan,,,,Active
Currencycloud,"Digital Payments, Enterprise Tech Provisioning, Digital Identity, RegTech","API Hubs for Payments, Settlement & Clearing Services Providers, API Management, Cloud Computing, Fraud Prevention & Risk Management, KYC Solutions, Dynamic Compliance",2007,2012,Private,United Kingdom,United Kingdom,51-200,,,,Active
CurrencyFair,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending",2009,2010,Private,Ireland,Ireland,51-200,,,,Active
Current,"WealthTech, Digital Savings","Personal Financial Management / Planning, Digital Micro Saving Solutions",2015,2016,Private,United States,United States,51-200,,,,Active
Curv,Digital Custody,Co-Managed Custody,2018,2018,Private,United States,Israel,,,,,Active
Curve,"WealthTech, Digital Savings, Digital Payments","Personal Financial Management / Planning, Digital Micro Saving Solutions, eMoney Issuers, Money Transfer (P2P / P2B / B2P / B2B)",2015,2016,Private,United Kingdom,United Kingdom,201-500,,,,Active
Cuvva,InsurTech,"On-Demand Insurance, Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions",2014,2016,Private,United Kingdom,United Kingdom,51-200,,,,Active
CX PAY,Digital Payments,"Payment Gateways, Payment Aggregators, Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS)",2014,2014,Private,Costa Rica,Costa Rica,10-Jan,,,,Active
Cyber Change,Digital Payments,"Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Cross Border-P2P)",,2018,Private,Peru,Peru,10-Jan,,,,Active
CyberCube,"Enterprise Tech Provisioning, RegTech, InsurTech","Financial Management & Business Intelligence, Market Monitoring, Risk Analytics, Claims & Risk Management Solutions",2017,2018,Private,United States,United States,51-200,,,,Active
"CyberIssues, LLC.",Digital Capital Raising,Equity-Based Crowdfunding,2014,2016,Private,United States,United States,6,,,,Active
Cynopsis Solutions,"Digital Identity, Enterprise Tech Provisioning","KYC Solutions, Fraud Prevention & Risk Management, AI / ML / NLP",2014,2015,Private,Singapore,Singapore,Nov-50,,,,Active
Cytrone,Digital Payments,"Top-ups & Refills, Payment Aggregators, Bulk Payment Solutions, Mobile Money, Digital Remittances (Cross Border-P2P), Money Transfer (P2P / P2B / B2P / B2B)",2016,2016,Private,Uganda,Uganda,10-Jan,,,,Active
Dacxi,Cryptoasset Exchange,"Retail Brokerage Services, Education and Training",2017,2017,Private,Singapore,Singapore,51-200,,,,Active
Dadao Financial,InsurTech,Parametric-Based Insurance,2015,2018,Private,China,China,1001-5000,,,,Active
Dailyfunding,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, P2P / Marketplace Property Lending, Real Estate Crowdfunding",2017,2017,Private,"Korea, Rep.","Korea, Rep.",30,,,,Active
DailyPay,"Digital Lending, Digital Savings, Digital Payments, Enterprise Tech Provisioning","Customer Cash-Advance, Digital Micro Saving Solutions, API Hubs for Payments, Financial Management & Business Intelligence",2015,2016,Private,United States,United States,501-1000,,,,Active
Dajiatou,Digital Capital Raising,Equity-Based Crowdfunding,2012,2014,Private,China,China,,2019,,,Inactive
Damailicai.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Balance Sheet Consumer Lending, Balance Sheet Business Lending",2014,2014,Private,China,China,176,,,,Active
Dana Fintech,Digital Lending,"Customer Cash-Advance, P2P / Marketplace Consumer Lending, Balance Sheet Consumer Lending",,2021,Private,Bangladesh,Bangladesh,Nov-50,,,,Active
DANA Wallet Indonesia,"Digital Payments, Digital Custody","Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, eMoney Wallet",2017,2017,Other,Indonesia,Indonesia,501-1000,,,,Active
Danabijak,Digital Lending,P2P / Marketplace Consumer Lending,2015,2015,Private,Indonesia,Indonesia,76,,,,Active
Danacita,Digital Lending,P2P / Marketplace Consumer Lending,,2018,Private,Unidentified,Indonesia,Nov-50,,,,Active
DANAdidik,Digital Lending,P2P / Marketplace Consumer Lending,2015,2016,Private,Indonesia,Indonesia,6,,,,Active
Danai.id,"Digital Lending, Digital Savings","P2P / Marketplace Business Lending, Invoice Trading, Savings-as-a-Service (SaaS)",2021,2018,Private,Indonesia,Indonesia,Nov-50,,,,Active
Danamas,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Invoice Trading",2000,2000,Private,Indonesia,Indonesia,,,,,Active
Danamojo ,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Payment Gateways, Financial Management & Business Intelligence",2015,2016,Private,India,India,10-Jan,,,,Active
DanaRupiah,"Alternative Credit Analytics, Digital Lending","Credit Scoring, Balance Sheet Business Lending, Balance Sheet Consumer Lending",,2018,Private,Indonesia,Indonesia,201-500,,,,Active
Dank,"Enterprise Tech Provisioning, Digital Lending","Electronic Invoicing, Invoice Trading",,2019,Private,Chile,Chile,10-Jan,2021,,,Inactive
Daokoudai,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2014,Private,China,China,30,,,,Active
Dapper Labs,Enterprise Tech Provisioning,Enterprise Blockchain,2018,2018,Private,Canada,Canada,51-200,,,,Active
Darenloan.com,Digital Lending,P2P / Marketplace Consumer Lending,2013,2014,Private,China,China,376,,,,Active
Datacultr,"Enterprise Tech Provisioning, Digital Identity, RegTech","AI / ML / NLP, API Management, Financial Management & Business Intelligence, Fraud Prevention & Risk Management, Risk Analytics, Data aggregation",2014,2017,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
Dataminr,Enterprise Tech Provisioning,AI / ML / NLP,2009,2011,Public,United States,United States,501-1000,,,,Active
Datarama,"Enterprise Tech Provisioning, RegTech, Digital Identity","Financial Management & Business Intelligence, AI / ML / NLP, Profiling & Due Diligence, Risk Analytics, KYC Solutions",2015,2015,Private,Singapore,Singapore,Nov-50,,,,Active
Dave,Digital Banks,Fully Digitally Native Bank (Retail),2016,2016,Private,United States,United States,201-500,,,,Active
Davinta,Digital Lending,"Merchant Cash-Advance, Balance Sheet Business Lending",2020,2019,Private,India,India,51-200,,,,Active
Dcoin,Cryptoasset Exchange,"Order-Book, Retail Brokerage Services, Advanced Trading Services",2018,2018,Private,Singapore,Singapore,51-200,,,,Active
DCON,"Digital Payments, WealthTech, Digital Lending","Payment processor, Digital Wealth Management, Balance Sheet Property Lending",2018,2017,Public,Japan,Japan,51-200,,,,Active
Deal4Loans,WealthTech,Financial Comparison Sites,2008,2006,Private,India,India,,,,,Active
Dealflow,Digital Capital Raising,Equity-Based Crowdfunding,2019,2017,Private,Norway,Norway,10-Jan,,,,Active
DealMarket,Digital Lending,P2P / Marketplace Business Lending,2010,2011,Private,United States,Switzerland,6,,,,Active
Dealstruck,Digital Lending,P2P / Marketplace Business Lending,2012,2012,Private,United States,United States,30,,,,Active
DeBank,RegTech,Blockchain Forensics,,2018,Private,Unidentified,China,Nov-50,,,,Active
Debiteurenbeurs,Digital Lending,Invoice Trading,2014,2016,Private,Netherlands,Netherlands,6,,,,Active
Deel,"Enterprise Tech Provisioning, Digital Payments, RegTech","Financial Management & Business Intelligence, Electronic Invoicing, Bulk Payment Solutions, Dynamic Compliance",2017,2019,Private,United States,United States,201-500,,,,Active
