Status,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status
Active,Röntgen,Digital Capital Raising,Real Estate Crowdfunding,2017,2017,Private,Lithuania,Lithuania,6,,,
Active,Ryskex,InsurTech,"P2P Insurance, Parametric-Based Insurance, Digital Brokers or Agents, Claims & Risk Management Solutions, On-Demand Insurance",2016,2016,Private,Germany,Germany,1-10,,,
Active,RusBit,Cryptoasset Exchange,Bitcoin Teller Machines (BTM),,2017,Private,Russian Federation,Russian Federation,,,,
Active,RuralNet,"InsurTech, Enterprise Tech Provisioning","Technical Service Provider (TSP), API Management, Financial Management & Business Intelligence",,2012,Private,Philippines,Philippines,,,,
Inactive,Ruplee,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2014,2014,Volunteer,India,India,51-200,2017,,
Active,Rupiah Token Indonesia,Digital Payments,Asset-Backed Stablecoin,,2019,Private,Indonesia,Indonesia,11-50,,,
Active,Rupiah Cepat,Digital Lending,P2P / Marketplace Consumer Lending,2019,2018,Private,Indonesia,Indonesia,501-1000,,,
Active,RupeeRedee,"Digital Lending, Digital Identity, Alternative Credit Analytics, Digital Banks","P2P / Marketplace Business Lending, KYC Solutions, Credit Scoring, Banking-as-a-Service (BaaS)",2018,2018,Private,India,India,11-50,,,
Active,Rupeek,Digital Lending,Balance Sheet Consumer Lending,2015,2015,Private,India,India,1001-5000,,,
Active,RupeeCircle,Digital Lending,P2P / Marketplace Consumer Lending,2017,2017,Private,India,India,30,,,
Active,Rupaiya Exchange,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2015,2015,Private,India,India,6,,,
Active,Rukula,Digital Lending,Balance Sheet Consumer Lending,,2015,Private,Sri Lanka,Sri Lanka,18,,,
Inactive,RTBTC,Cryptoasset Exchange,"Order-Book, Market data",2013,2013,Private,United States,United States,,2014,,
Active,RSK,Digital Payments,"Money Transfer (Cryptoasset), Payment processor, Application development",,2015,Private,Gibraltar,Argentina,,,,
Active,Root Insurance,InsurTech,Digital Brokers or Agents,2019,2015,Public,United States,United States,1001-5000,,,
Active,Root Capital,Digital Lending,"Debt-Based Securities, Balance Sheet Business Lending",1999,1999,Private,United States,United States,76,,,
Active,Roostify,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2012,2012,Private,United States,United States,51-200,,,
Active,Roojai,InsurTech,Digital Brokers or Agents,2014,2014,Private,Thailand,Thailand,79,,,
Active,Roofstock,"WealthTech, Digital Lending","Digital Wealth Management, Personal Financial Management / Planning, P2P / Marketplace Property Lending",2014,2016,Private,United States,United States,201-500,,,
Active,Rongjinsuo,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2013,2013,Private,China,China,,,,
Active,Rong360,WealthTech,"Financial Comparison Sites, Digital Wealth Management, Robo-Advisors, Market data, Industry research",2011,2012,Private,China,China,51-200,,,
Inactive,Romit,"Cryptoasset Exchange, Digital Custody, Digital Payments","Bitcoin Teller Machines (BTM), Hosted Cryptoasset Wallet, Money Transfer (Cryptoasset)",2014,2013,Private,United States,United States,,2016,,
Active,Rockpapr,"Enterprise Tech Provisioning, Digital Payments","Financial Management & Business Intelligence, Digital Accounting, Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, eMoney Issuers",2018,2018,Private,United States,United States,1-10,,,
Active,Robowealth,WealthTech,Robo-Advisors,2016,2018,Private,Thailand,Thailand,137,,,
Active,Robot Fund,"Enterprise Tech Provisioning, WealthTech","Digital Accounting, Robo-Advisors",2016,2017,Private,Japan,Japan,11-50,,,
Active,Robocash Group,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Consumer Lending, P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2015,2013,Private,Singapore,Singapore,94,,,
Active,Robobo,Digital Payments,"Payment Gateways, Payment Aggregators, Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments",2011,2011,Private,United Kingdom,United Kingdom,,,,
Active,Robo.cash,Digital Lending,P2P / Marketplace Consumer Lending,2017,2017,Private,Croatia,Croatia,6,,,
Active,ROBO WEB TECH,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",,2015,Private,Unidentified,"Taiwan, China",11-50,,,
Active,Robinhood,"Digital Payments, Cryptoasset Exchange, WealthTech","Money Transfer (Cryptoasset), Order-Book, Retail Brokerage Services, Digital Wealth Management, Personal Financial Management / Planning",2013,2014,Public,United States,United States,1001-5000,,,
Active,RoadPass ,"Digital Payments, Enterprise Tech Provisioning, Digital Banks","Payment Gateways, API Hubs for Payments, Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), eMoney Issuers, API Management, Cloud Computing, AI / ML / NLP, Banking-as-a-Service (BaaS)",,2017,Private,Brazil,Brazil,11-50,,,
Active,Roadoor.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2009,2011,Private,China,China,750,,,
Active,Rnwl,InsurTech,Digital Brokers or Agents,2019,2019,Private,United Kingdom,United Kingdom,1-10,,,
Active,Riskified,"RegTech, Enterprise Tech Provisioning, Digital Identity","Risk Analytics, Financial Management & Business Intelligence, AI / ML / NLP, Fraud Prevention & Risk Management",2012,2012,Public,Israel,Israel,501-1000,,,
Active,RiskGenius,Enterprise Tech Provisioning,AI / ML / NLP,2015,2016,Private,United States,United States,25,,,
Active,Riskalyze,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2011,2010,Private,United States,United States,201-500,,,
Active,Risk+ Solutions,"RegTech, Enterprise Tech Provisioning","Risk Analytics, Financial Management & Business Intelligence",2017,2018,Private,Lebanon,Lebanon,1-10,,,
Active,Risk Priorities,RegTech,"Profiling & Due Diligence, Risk Analytics, Dynamic Compliance, Regulatory Reporting, Data aggregation",2014,2014,Private,United States,United States,1-10,,,
Active,Risika,"RegTech, Enterprise Tech Provisioning, Alternative Credit Analytics","Risk Analytics, AI / ML / NLP, Credit Scoring",2016,2017,Private,Denmark,Denmark,11-50,,,
Active,Ripple,Enterprise Tech Provisioning,Enterprise Blockchain,2012,2013,Private,United States,United States,201-500,,,
Active,Ripio,"Digital Payments, Cryptoasset Exchange, Digital Lending, WealthTech","Payment processor, Retail Brokerage Services, Order-Book, Single Dealer Platform / OTC Trading, Balance Sheet Consumer Lending, Personal Financial Management / Planning",2013,2013,Private,Argentina,Argentina,201-500,,,
Active,Ringan,Digital Lending,P2P / Marketplace Consumer Lending,2018,2020,Private,Indonesia,Indonesia,51-200,,,
Active,RightBTC,Cryptoasset Exchange,"Advanced Trading Services, Order-Book, High-Frequency Trading (HFT) Services, Single Dealer Platform / OTC Trading",2014,2018,Private,United Arab Emirates,"Hong Kong SAR, China",51-200,,,
Active,Rich Data Corporation,"Alternative Credit Analytics, Enterprise Tech Provisioning","Credit Scoring, AI / ML / NLP",2016,2016,Private,Singapore,Australia,51-200,,,
Active,Rho Business Banking,"Enterprise Tech Provisioning, Digital Banks","Digital Accounting, Fully Digitally Native Bank (MSME)",2018,2019,Private,United States,United States,51-200,,,
Active,Rhino,InsurTech,"Digital Brokers or Agents, Customer Management",2017,2016,Private,United States,United States,201-500,,,
Active,Rezolve Limited,Digital Payments,"API Hubs for Payments, Application development, Software oracle",2015,2016,Private,United Kingdom,United Kingdom,11-50,,,
Active,Rextie,Digital Lending,Invoice Trading,2016,2016,Private,Unidentified,Peru,11-50,,,
Active,Revolut,"Cryptoasset Exchange, Digital Custody, Digital Banks","Aggregation, Hosted Cryptoasset Wallet, Fully Digitally Native Bank (Retail)",2013,2014,Private,United Kingdom,United Kingdom,2200,,,
Active,Rete del Dono,Digital Capital Raising,Donation-Based Crowdfunding,2013,2013,Private,Italy,Italy,30,,,
Active,Retail Capital,Digital Lending,Balance Sheet Business Lending,,2011,Private,Unidentified,South Africa,51-200,,,
Active,Reputation Transfer,"Digital Banks, Digital Capital Raising, Digital Lending, InsurTech","Fully Digitally Native Bank (Retail), Revenue / Profit Share Crowdfunding, P2P / Marketplace Consumer Lending, Reward-Based Crowdfunding, Equity-Based Crowdfunding, Fully Digitally Native Bank (MSME), Technical Service Provider (TSP), Donation-Based Crowdfunding, Crowd-Led Microfinance",2017,2017,Private,United Kingdom,United Kingdom,1-10,,,
Active,Republic,Digital Capital Raising,Equity-Based Crowdfunding,2013,2013,Private,United States,United States,176,,,
Active,RePay Africa,"Digital Payments, Enterprise Tech Provisioning","API Hubs for Payments, Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Top-ups & Refills, Mobile Money, Digital Remittances (Cross Border-P2P), Financial Management & Business Intelligence, Digital Accounting",,2020,Private,Kenya,Kenya,11-50,,,
Active,Reonomy ,Enterprise Tech Provisioning,"AI / ML / NLP, Financial Management & Business Intelligence, API Management",2013,2014,Private,United States,United States,51-200,,,
Active,Rent.com,Digital Lending,P2P / Marketplace Consumer Lending,2016,2000,Private,"Korea, Rep.",United States,76,,,
Active,Renrenmoney,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2011,2012,Private,China,China,6,,,
Active,Renrendai,Digital Lending,P2P / Marketplace Consumer Lending,2010,2010,Private,China,China,6,,,
Active,Renexe,RegTech,"Risk Analytics, Portfolio management",2019,2019,Private,Finland,Finland,1-10,,,
Active,RenewBuy,InsurTech,"Digital Brokers or Agents, Comparison Portal",2013,2015,Private,India,India,1001-5000,,,
Active,Rendity,Digital Capital Raising,Real Estate Crowdfunding,2014,2015,Private,Austria,Austria,6,,,
Active,Remitly,Digital Payments,Digital Remittances (Cross Border-P2P),2011,2012,Private,United States,United States,1001-5000,,,
Active,RemitGuru,Digital Payments,Digital Remittances (Cross Border-P2P),1999,2013,Private,India,India,51-200,,,
Active,RemitAnalyst,"Digital Payments, Enterprise Tech Provisioning","Digital Remittances (Cross Border-P2P), AI / ML / NLP, Market surveillance, Data aggregation",2019,2019,Private,United States,United States,1-10,,,
Active,Remedinet,InsurTech,"Claims & Risk Management Solutions, Technical Service Provider (TSP)",2006,2006,Private,India,India,51-200,,,
Active,Relendex,Digital Lending,P2P / Marketplace Property Lending,2013,2013,Private,United Kingdom,United Kingdom,30,,,
Active,Relay ,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, Digital Accounting, Financial Management & Business Intelligence, Money Transfer (P2P / P2B / B2P / B2B)",2019,2020,Private,United States,United States,51-200,,,
Active,Regtify,RegTech,"Regulatory Reporting, Risk Analytics, Dynamic Compliance",2016,2016,Private,Cyprus,Cyprus,11-50,,,
Active,ReGal 38I83,"Cryptoasset Exchange, RegTech, Digital Banks, Enterprise Tech Provisioning","Advanced Trading Services, Risk Analytics, Profiling & Due Diligence, Dynamic Compliance, Banking-as-a-Service (BaaS), AI / ML / NLP, Enterprise Blockchain",2018,2018,Private,United Kingdom,United Kingdom,11-50,,,
Active,Refinn,"WealthTech, Digital Lending","Financial Comparison Sites, P2P / Marketplace Property Lending, P2P / Marketplace Consumer Lending",2015,2016,Private,Thailand,Thailand,11-50,,,
Active,REDD Intelligence,RegTech,"Market Monitoring, Market data, Market surveillance",2014,2014,Private,United States,United States,11-50,,,
Active,RedCloud Technologies,Digital Payments,"Payment Gateways, Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), Top-ups & Refills, Digital Remittances (Domestic-P2P)",2012,2012,Private,United Kingdom,United Kingdom,51-200,,,
Active,RedCarpet,"Digital Payments, Digital Lending, WealthTech","Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Customer Cash-Advance, Balance Sheet Consumer Lending, Personal Financial Management / Planning",2016,2014,Private,India,India,11-50,,,
Active,RedCapital,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Property Lending, Invoice Trading",2014,2014,Private,Chile,Chile,30,,,
Active,Red Dot Payment,Digital Payments,"Payment Gateways, Acquiring Services Providers for Merchants",2011,2013,Private,Singapore,Singapore,51-200,,,
Active,Recurly,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, API Management, Money Transfer (P2P / P2B / B2P / B2B)",2009,2010,Private,United States,United States,201-500,,,
Active,RecoverCoins.io,Digital Custody,Key Management Services,,2019,Private,Unidentified,Unidentified,,,,
Active,Recko,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2017,2019,Private,India,India,51-200,,,
Active,Recharge,Enterprise Tech Provisioning,API Management,2019,2014,Private,United States,United States,501-1000,,,
Active,recaudia,Digital Capital Raising,Donation-Based Crowdfunding,2015,2015,Private,Mexico,Mexico,,,,
Active,rebuildingsociety.com,Digital Lending,P2P / Marketplace Business Lending,2012,2012,Private,United Kingdom,United Kingdom,30,,,
Inactive,Rebit,Digital Payments,Money Transfer (Cryptoasset),2014,2014,Private,Philippines,Philippines,11-50,2020,,
Active,Rebel,Digital Lending,Balance Sheet Consumer Lending,,2016,Private,Brazil,Brazil,51-200,,,
Active,Rebeja Tus Cuentas,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending, Education and Training",2017,2017,Private,Peru,Peru,1-10,,,
Active,Rebanking,Digital Lending,"Balance Sheet Consumer Lending, Invoice Trading, Balance Sheet Business Lending",2017,2017,Private,Argentina,Argentina,176,,,
Active,Reask,InsurTech,"Claims & Risk Management Solutions, Technical Service Provider (TSP)",2018,2017,Private,Australia,Australia,1-10,,,
Active,RealX,"Enterprise Tech Provisioning, WealthTech, Digital Capital Raising","Enterprise Blockchain, Personal Financial Management / Planning, Financial Comparison Sites, Equity-Based Crowdfunding, Real Estate Crowdfunding",2016,2017,Private,India,India,7,,,
Active,RealVantage,WealthTech,"Personal Financial Management / Planning, Digital Wealth Management, Education and Training",2019,2020,Private,Singapore,Singapore,11-50,,,
Active,RealtyWealth,Digital Capital Raising,Real Estate Crowdfunding,2006,2007,Private,United States,United States,6,,,
Active,RealtyShares,Digital Capital Raising,Real Estate Crowdfunding,2013,2013,Private,United States,United States,76,,,
Active,RealtyMogul,"Digital Lending, Digital Capital Raising","P2P / Marketplace Property Lending, Real Estate Crowdfunding",2012,2015,Private,United States,United States,76,,,
Active,Realty Africa,Digital Capital Raising,Real Estate Crowdfunding,2014,2014,Private,South Africa,South Africa,,,,
Active,RealCrowd,Digital Capital Raising,Real Estate Crowdfunding,2013,2013,Private,United States,United States,30,,,
Active,Real Funds,Digital Lending,P2P / Marketplace Property Lending,2015,2016,Private,United Kingdom,United Kingdom,,,,
Active,ReaCapital,Digital Capital Raising,Real Estate Crowdfunding,2014,2015,Private,Germany,Germany,,,,
Active,RE-Lender,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Real Estate Crowdfunding",2019,2020,Private,Italy,Italy,1-10,,,
Active,Razorpay,"Enterprise Tech Provisioning, Digital Payments, RegTech, Digital Lending, Digital Banks","API Management, Cloud Computing, Electronic Invoicing, AI / ML / NLP, Digital Accounting, Payment Gateways, Acquiring Services Providers for Merchants, API Hubs for Payments, Regulatory Reporting, Risk Analytics, Balance Sheet Business Lending, Fully Digitally Native Bank (MSME)",2013,2014,Private,India,India,1001-5000,,,
Inactive,RAWX,Cryptoasset Exchange,Order-Book,2013,2013,Private,Unidentified,Unidentified,,2016,,
Active,Ravelin,"RegTech, Digital Identity, Enterprise Tech Provisioning","Risk Analytics, Fraud Prevention & Risk Management, Financial Management & Business Intelligence",2014,2015,Private,United Kingdom,United Kingdom,51-200,,,
Active,RateSetter,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2010,2010,Private,United Kingdom,United Kingdom,376,,,
Active,Rapyd,"Digital Payments, RegTech, Enterprise Tech Provisioning, Digital Identity","Payment Gateways, eMoney Issuers, Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, API Hubs for Payments, Mobile Money, Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Points of Access (PoS / mPoS / Online PoS), Risk Analytics, API Management, Fraud Prevention & Risk Management",2016,2016,Private,United Kingdom,United Kingdom,201-500,,,
Active,RappiPay,"Digital Payments, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), eMoney Issuers, Fully Digitally Native Bank (MSME), Fully Digitally Native Bank (Retail)",2015,2019,Private,Colombia,Colombia,51-200,,,
Active,Rapidoo,Digital Lending,Invoice Trading,2016,2016,Private,Brazil,Brazil,6,,,
Active,RapiCredit,Digital Lending,Balance Sheet Consumer Lending,,2014,Private,Colombia,Colombia,51-200,,,
Active,Rang De,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending",2017,2008,Private,India,India,11-50,,,
Active,Ramp,"Enterprise Tech Provisioning, Digital Banks, Digital Payments","Financial Management & Business Intelligence, Digital Accounting, Electronic Invoicing, Agent Banking (Cash-In / Cash-Out), Money Transfer (P2P / P2B / B2P / B2B)",2019,2020,Private,United States,United States,51-200,,,
Active,Rally Rd,Digital Capital Raising,Equity-Based Crowdfunding,2016,2016,Private,United States,United States,11-50,,,
Active,Rakuten,Cryptoasset Exchange,Order-Book,1997,2019,Public,Japan,Japan,,,,
Active,RajaPremi,InsurTech,Comparison Portal,2013,2013,Private,Indonesia,Indonesia,11-50,,,
Active,Raizers,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Equity-Based Crowdfunding, Real Estate Crowdfunding",2014,2011,Private,France,Switzerland,30,,,
Active,Raize,Digital Lending,P2P / Marketplace Business Lending,2014,2012,Public,Portugal,Portugal,6,,,
Active,Raison,"WealthTech, Cryptoasset Exchange, Digital Custody, Enterprise Tech Provisioning, Digital Capital Raising, Digital Payments","Personal Financial Management / Planning, Digital Wealth Management, Retail Brokerage Services, Single Dealer Platform / OTC Trading, Unhosted Cryptoasset Wallet, Digital Accounting, Token Hosting Platform, Consumer Spending",2017,2017,Private,Estonia,Estonia,11-50,,,
Active,Raisin,"Digital Savings, WealthTech, Digital Banks","Digital Savings Collective / Pool, Savings-as-a-Service (SaaS), Robo-Advisors, Financial Comparison Sites, Pension-Led Funding, Digital Wealth Management, Banking-as-a-Service (BaaS)",2012,2013,Private,Germany,Germany,201-500,,,
Active,Raiseworks,Digital Lending,Balance Sheet Business Lending,2013,2014,Private,United States,United States,6,,,
Active,Raisehub,Digital Capital Raising,Equity-Based Crowdfunding,2016,2016,Private,Mexico,Mexico,,,,
Active,Raise Green,Digital Capital Raising,"Revenue / Profit Share Crowdfunding, Education and Training",2018,2019,Private,United States,United States,1-10,,,
Active,RainFin,Digital Lending,"P2P / Marketplace Business Lending, Debt-Based Securities, Balance Sheet Business Lending",2012,2012,Private,South Africa,South Africa,30,,,
Active,Rain,"Digital Custody, Cryptoasset Exchange","Hosted Cryptoasset Wallet, Retail Brokerage Services, Institutional Brokerage Services, Education and Training",2017,2019,Private,Bahrain,Bahrain,201-500,,,
Active,Railsbank,"Enterprise Tech Provisioning, Digital Banks","API Management, Banking-as-a-Service (BaaS)",2016,2017,Private,United Kingdom,United Kingdom,201-500,,,
Active,Rai Capital,Digital Lending,P2P / Marketplace Business Lending,2018,2020,Private,Unidentified,Cambodia,1-10,,,
Active,Radius Payment Solutions,"Digital Payments, InsurTech","Money Transfer (P2P / P2B / B2P / B2B), Digital Brokers or Agents",2012,2013,Private,United Kingdom,United Kingdom,501-1000,,,
Active,Racional,WealthTech,"Personal Financial Management / Planning, Robo-Advisors",,2019,Private,Chile,Chile,1-10,,,
Active,Rabbit Care,"InsurTech, WealthTech","Digital Brokers or Agents, Comparison Portal, Financial Comparison Sites, Personal Financial Management / Planning",2015,2016,Private,Thailand,Thailand,501-1000,,,
Active,Qwikwire,InsurTech,Digital Brokers or Agents,2013,2013,Private,Philippines,Philippines,11-50,,,
Inactive,Quovo,"WealthTech, Enterprise Tech Provisioning","Personal Financial Management / Planning, Financial Management & Business Intelligence",2009,2010,Private,United States,United States,51-200,2019,,
Active,Quotanda,Digital Lending,P2P / Marketplace Consumer Lending,2015,2015,Private,United States,Mexico,30,,,
Active,Quontic,Digital Banks,Fully Digitally Native Bank (Retail),2009,2019,Private,United States,United States,201-500,,,
Active,Quo Finance,Digital Lending,Customer Cash-Advance,2018,2018,Private,United States,United States,1-10,,,
Active,Quire,Digital Capital Raising,Equity-Based Crowdfunding,2014,2009,Private,United States,United States,6,,,
Active,QuintoAndar,"Digital Lending, Alternative Credit Analytics","P2P / Marketplace Property Lending, Credit Scoring",2012,2018,Private,Brazil,Brazil,1001-5000,,,
Active,Quikkloan,"Digital Lending, Alternative Credit Analytics","Balance Sheet Consumer Lending, Credit Scoring",2016,2016,Private,India,India,1-10,,,
Active,QuietGrowth,WealthTech,"Robo-Advisors, Personal Financial Management / Planning",2014,2014,Private,Australia,Australia,14,,,
Inactive,Quickwallet,Digital Custody,Hosted Cryptoasset Wallet,2014,2014,Private,China,China,,2014,,
Active,Quickloans,Digital Lending,Balance Sheet Consumer Lending,2003,2017,Private,New Zealand,New Zealand,51-200,,,
Active,QuickCheck,Digital Lending,"Balance Sheet Consumer Lending, Balance Sheet Business Lending",2017,2016,Private,Nigeria,Nigeria,51-200,,,
Active,Queen Bee Capital,"Digital Payments, Digital Custody, RegTech","Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), eMoney Wallet, Dynamic Compliance",2007,2010,Private,Japan,Japan,11-50,,,
Active,Quedex Limited,"Cryptoasset Exchange, Digital Custody","Order-Book, Third-Party Custody",2019,2018,Private,Gibraltar,Gibraltar,,,,
Active,Qudian,Digital Lending,"Balance Sheet Consumer Lending, Customer Cash-Advance",2014,2014,Public,China,China,1001-5000,,,
Active,QUBER,"Digital Savings, WealthTech","Digital Micro Saving Solutions, Savings-as-a-Service (SaaS), Personal Financial Management / Planning",2016,2018,Private,Canada,Canada,1-10,,,
Active,Quarule,"RegTech, Digital Lending","Market Monitoring, Balance Sheet Consumer Lending, Dynamic Compliance",2014,2014,Private,United States,United States,1-10,,,
Inactive,QuarterSpot,Digital Lending,Balance Sheet Business Lending,2011,2013,Private,United States,United States,51-200,2021,,
Active,QuantumX,"Enterprise Tech Provisioning, Digital Custody","Enterprise Blockchain, Third-Party Custody",,2019,Private,Chile,Chile,1-10,,,
Inactive,Quantopian,"WealthTech, Enterprise Tech Provisioning","Personal Financial Management / Planning, Financial Management & Business Intelligence, Education and Training",2011,2011,Private,United States,United States,11-50,2020,,
Active,Quantile,RegTech,"Risk Analytics, Dynamic Compliance, Portfolio management",2015,2017,Private,United Kingdom,United Kingdom,51-200,,,
Active,Quantifeed,WealthTech,"Robo Retirement / Pension Planning, Personal Financial Management / Planning, Robo-Advisors, Digital Wealth Management",2013,2013,Private,"Hong Kong SAR, China","Hong Kong SAR, China",11-50,,,
Active,Quantia Capital,"Cryptoasset Exchange, Digital Custody","Advanced Trading Services, Unhosted Cryptoasset Wallet",2018,2015,Private,United States,Argentina,1-10,,,
Active,Quantexa ,"Digital Identity, RegTech, Enterprise Tech Provisioning, Alternative Credit Analytics","Fraud Prevention & Risk Management, KYC Solutions, Risk Analytics, Dynamic Compliance, Profiling & Due Diligence, AI / ML / NLP, API Management, Financial Management & Business Intelligence, Credit Scoring",2016,2016,Private,United Kingdom,United Kingdom,201-500,,,
Active,QuantDART,Digital Custody,"Hosted Cryptoasset Wallet, Co-Managed Custody, eMoney Wallet, Third-Party Custody",2020,2019,Private,"Hong Kong SAR, China",Kazakhstan,11-50,,,
Active,Quant Network,"Digital Payments, Enterprise Tech Provisioning","Payment Gateways, API Hubs for Payments, Enterprise Blockchain",2015,2015,Private,United Kingdom,United Kingdom,11-50,,,
Active,Qualia,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, API Management",2015,2015,Private,United States,United States,501-1000,,,
Inactive,Quadriga CX,"Digital Payments, Cryptoasset Exchange","Acquiring Services Providers for Merchants, Payment processor, Order-Book, Bitcoin Teller Machines (BTM)",2014,2013,Private,Canada,Canada,1-10,2019,,
Active,Qredits,Digital Lending,Crowd-Led Microfinance,2015,2015,Private,Netherlands,Netherlands,76,,,
Active,Qonto,"Digital Banks, Enterprise Tech Provisioning, Digital Payments, Digital Identity","Fully Digitally Native Bank (MSME), API Management, Digital Accounting, API Hubs for Payments, Money Transfer (P2P / P2B / B2P / B2B), Fraud Prevention & Risk Management",2016,2017,Private,France,France,201-500,,,
Active,Qinqinxiaodai,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Balance Sheet Business Lending",2014,2014,Private,China,China,76,,,
Active,Qingtianzhu,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending",2016,2016,Private,China,China,51-200,,,
Active,QIANMANCANG.COM,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,China,China,176,,,
Active,qianhezi.cn,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2011,2011,Private,China,China,176,,,
Active,Qianbaomu,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2014,Private,China,China,30,,,
Active,QFPay,"Digital Payments, Enterprise Tech Provisioning","Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, API Hubs for Payments, Payment Gateways, Digital Accounting",2011,2011,Private,China,China,201-500,,,
Active,QCP capital,Cryptoasset Exchange,"Retail Brokerage Services, Institutional Brokerage Services",2017,2017,Private,Singapore,Singapore,11-50,,,
Active,Qbera,Digital Lending,P2P / Marketplace Consumer Lending,2015,2015,Private,India,India,176,,,
Active,Qapital,"WealthTech, Digital Savings, Digital Payments","Personal Financial Management / Planning, Digital Micro Saving Solutions, Money Transfer (P2P / P2B / B2P / B2B)",2012,2013,Private,United States,United States,51-200,,,
Active,Qadre,"Enterprise Tech Provisioning, Digital Payments, Digital Identity","Financial Management & Business Intelligence, Payment Gateways, KYC Solutions, Fraud Prevention & Risk Management, Security & Biometrics, API Hubs for Payments, Enterprise Blockchain",2017,2017,Private,United Kingdom,United Kingdom,11-50,,,
Active,Q4,"Enterprise Tech Provisioning, RegTech","Financial Management & Business Intelligence, Regulatory Reporting, Education and Training",2005,2006,Public,Unidentified,Canada,501-1000,,,
Active,Q2i Group,"Digital Payments, Digital Identity, Enterprise Tech Provisioning, WealthTech, Digital Custody","Payment Gateways, KYC Solutions, Fraud Prevention & Risk Management, AI / ML / NLP, Settlement & Clearing Services Providers, API Management, API Hubs for Payments, Digital Wealth Management, Third-Party Custody, Enterprise Blockchain",2017,2017,Private,United Kingdom,United Kingdom,1-10,,,
Active,Purse,"Digital Payments, Digital Custody","Top-ups & Refill (Cryptoasset), Hosted Cryptoasset Wallet",2014,2013,Private,United States,United States,19,,,
Active,Puntoseguro.com,InsurTech,"Digital Brokers or Agents, Comparison Portal, Usage-Based Insurance, IoT (including Telematics)",2011,2001,Private,Spain,Spain,1-10,,,
Active,Pula,InsurTech,"Digital Brokers or Agents, Claims & Risk Management Solutions, Parametric-Based Insurance",,2014,Private,Switzerland,Switzerland,11-50,,,
Active,Pubslush,Digital Capital Raising,Equity-Based Crowdfunding,2011,2011,Private,United Kingdom,United States,6,,,
Active,Public.com,"WealthTech, Cryptoasset Exchange","Personal Financial Management / Planning, Retail Brokerage Services, Education and Training",2015,2019,Private,United States,United States,51-200,,,
Active,PT. Danakini Indonesia,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending",2017,2017,Public,Indonesia,Indonesia,51-200,,,
Active,PT Pendanaan Teknologi Nusa,InsurTech,Comparison Portal,2016,2016,Private,Indonesia,Indonesia,,,,
Active,Prêtgo,Digital Lending,P2P / Marketplace Business Lending,2001,2014,Private,France,France,6,,,
